ProductName,CurrentPrice,Description,FamilyBrand,Subtype,Type,Proof,Size,ProofBin
Balvenie Doublewood,64.9,"The Balvenie Doublewood Single Malt Scotch Whisky is a 12 year old single malt which gains its distinctive character from being matured in two woods. During its period of maturation The Balvenie Doublewood is transferred from a traditional oak whisky cask to a first fill Spanish oak sherry cask. Each stage lends different qualities to the resulting single malt - the traditional casks, having previously held bourbon, soften and add character, whilst the sherry wood brings depth and fullness of flavour. Nose: Sweet fruit and oloroso sherry notes, layered with honey and vanilla Taste: A smooth and mellow single malt of beautifully combined flavours - nutty sweetness, cinnamon spiciness and a delicately proportioned layer of sherry - with a long and warming finish",Balvenie,Whiskey,Spirits,86.0,750.0,80-120
Balvenie Portwood 21yr,219.9,NA,Balvenie,Whiskey,Spirits,86.0,750.0,80-120
Barboursville Brut,17.1,NA,Barboursville,Virginia,Wine,12.0,750.0,0-40
Barboursville Cabernet Sauvignon,14.1,"A Cabernet Sauvignon bred on the vine and in the winery for early approachability, the wine nevertheless evolves in bottle to repay patience in its consumption. Because of its vivid fruit and moderate concentration of tannins, its food pairing range is broader than expected, while still giving great satisfaction especially with rich red meats and game.",Barboursville,Virginia,Wine,24.0,750.0,0-40
Barboursville Chardonnay,12.1,"Our classic Chardonnay ripens on the vine with potential alcohol in the familiar and food-friendly range of Burgundy, 12.5 to 13 percent. Since 1979 our approach in the winery has captured the brilliant varietal essence of the wine, without resort to oak or to malolactic fermentation, resulting in immediate approachability and the broadest applicability in dining.",Barboursville,Virginia,Wine,24.0,750.0,0-40
Barboursville Chardonnay Res,15.1,"The grapes are allowed to achieve a proportionately higher potential alcohol on the vine than our classic Chardonnay. Then, drawing on 2nd and 3rd-use barrels of French and American oak for fermentation and for aging, we preserve Chardonnays latent effusiveness and lengthen its palate performance without malolactic fermentation. Core varietal aromas and flavors are thereby captured and merely extended by batonnage over several months on the lees.",Barboursville,Virginia,Wine,11.5,750.0,0-40
Barboursville Merlot,14.1,"Established as one of the estates most important and consistent varietals, this classic Merlot is one of our most popular wines, for its very gratifying palate and food pairing manners. Supple, silky, yet with attractive tannic grip, the wine is forthcoming with luscious aromas and flavors which suggest it most frequently in everyday dining, and when a glass by itself is desired.",Barboursville,Virginia,Wine,12.0,750.0,0-40
Barboursville Pinot Grigio,13.2,"Romantic and youthful-spirited, in a true expression of Italian winemaking style. Extremely flavorful, with apple, pear, and a touch of pineapple. Dry and well-balanced, with a glowing and intriguingly gentle finish.",Barboursville,Virginia,Wine,11.5,750.0,0-40
Barboursville Riesling,12.1,"A dry white wine with a hint of sweetness. Very delicate with a charming bouquet and flavors of honey, nectarine and almonds. Good balance and a clean earthy finish. Perfect with light entrees, fresh water and seafish, poultry and cheeses. A nice accompaniment to flounder, sole, turkey, Thai or Szechwan cuisine, leek and potato soup. Also excellent as an apertif.",Barboursville,Virginia,Wine,24.0,750.0,0-40
Barboursville Sauvignon Blanc,13.2,NA,Barboursville,Virginia,Wine,12.0,750.0,0-40
Barboursville Vin Rose,9.1,"An irresistible expression in red wine grapes is captured afresh at every harvest. This vintage of Rose is blended of Cabernet Franc, Barbera, and Nebbiolo, and is naturally intended for enjoyment without extended bottle age. A dry rose of firmness and elegance, with grace notes of stone fruit and refreshing acidity, it welcomes being served chilled and is adaptable to food pairings ranging from fresh shellfish to sausages, poultry, and lighter meats.",Barboursville,Virginia,Wine,24.0,750.0,0-40
Barenjager,29.9,"Barenjager Honey Liqueur is produced in Germany. The name Barenjager translates into bear hunter in English. This is a thick liqueur and is very reminiscent of honey as the name suggests. It looks like honey, it smells like honey and it tastes very much like honey. It ends with a slightly herbal liquor fade, but not much bite. If you enjoy the taste of honey, you will certainly enjoy Barenjager Honey Liqueur.",Barenjager,Cordials,Spirits,70.0,750.0,40-80
Barenjager Honey & Bourbon Rocks Glass Set,29.9,Bärenjäger Honey & Bourbon is a delicious blend of premium Honey Liqueur and Kentucky Bourbon Whiskey made with generous amounts of pure honey and all natural ingredients.,Barenjager Honey And Bourbon,Cordials,Spirits,70.0,750.0,40-80
Barenjager Honey And Bourbon,29.9,Bärenjäger Honey & Bourbon is a delicious blend of premium Honey Liqueur and Kentucky Bourbon Whiskey made with generous amounts of pure honey and all natural ingredients.,Barenjager,Cordials,Spirits,70.0,750.0,40-80
Barenjager Honey Bear Stein,29.9,NA,Barenjager,Cordials,Spirits,70.0,750.0,40-80
Barr Hill Gin,39.9,"The gin is a celebration of our special connection to the land. We use pure grain spirits as a canvas to showcase juniper berry and raw northern honey. Added just before bottling, the raw honey imparts unique floral qualities that vary with season and blossom. Our distillery, on the banks of the Lamoille River in the Northeast Kingdom, is rooted in the agriculture of Vermont. Hardwick, Caledonia Country, is a community inspired by farms where the production of milk, cheese, timber, grains, honey, seeds, and herbs are part of our lives and help define our place.",Barr Hill Gin,Gin,Spirits,90.0,750.0,80-120
Barterhouse Whiskey,75.9,"Twenty years in American Oak will make your average spirit a bit mellow. Take all the fight out. Well this here is no ordinary spirit, and twenty years is long enough to pick up a trick or two Barterhouse has notes of warm biscuits and buttercream, with spice and brown sugar in the finish.",Barterhouse Whiskey,Whiskey,Spirits,90.2,750.0,80-120
Barton Gin,12.7,"The crisp, dry taste that gin drinkers prefer. The ideal spirit to recommend for today's gin drinkers. Created according to Barton's strict formula for quality.",Barton,Gin,Spirits,80.0,1750.0,40-80
Barton Long Island Ice Tea,14.9,"This delicious 75-proof product contains rum, gin, vodka, tequila and triple sec. Just add cola and sweet and sour mix for a convenient, consistent, cost-efficient Long Island Iced Tea in a fraction of the time! Bartenders will love the convenience and customers will love the taste.",Barton,Cocktails,Spirits,75.0,1750.0,40-80
Barton Peach,5.9,NA,Barton,Schnapps,Spirits,42.0,750.0,40-80
Basil Hayden's,39.9,"Basil Hayden's is the lightest bodied bourbon whiskey in the family of Jim Beam small batch bourbons. It is 80 proof in contrast with its three sibling brands of higher concentration (Knob Creek, Booker's, and Baker's). Hayden was also an accomplished distiller and used a larger amount of rye in his mash than in some other bourbons. The picture on the bottle is copied from a rendering of Basil Sr.'s likeness. When Beam Industries introduced their ""small batch"" collection, among the four was ""Basil Hayden's"", which supposedly uses a mash similar to that originally utilized by Hayden back in 1792.",Basil Hayden's,Whiskey,Spirits,80.0,750.0,40-80
Basilica Sambuca,12.9,"Sip this white sambuca on the rocks, or with your favorite coffee.",Basilica,Cordials,Spirits,76.0,750.0,40-80
Bastille Hand Crafted 1789,38.8,"Bastille 1789 is a handcrafted whiskey with a unique identity. This luxury spirit is produced from wheat and barley grown in northeast of France, where some of the world’s finest scotch producers source their malt. Bastille 1789’s innovative distillation process combines traditional and cutting­-edge techniques to express the natural characteristics of the terroir, water and malt. Its delicate aromas and smooth profile make Bastille 1789 the perfect ingredient in traditional and modern cocktails.",Bastille,Whiskey,Spirits,80.0,750.0,40-80
Beach Vodka,24.9,"Beach Vodka was born wild and free along the Atlantic coastline of Virginia Beach, between miles of undisturbed sand dunes and thousands of acres of farmland. Beach is truly a free spirit, she is a natural beauty void of all imprities and raised on only the finest natural ingredients. Beach loves to play in the sand and splash in the waves. She lives where its always a crystal blue sunny sky reaching down to meet the clear aqua marine waters that share the horizon. Her life is our inspiration and inherent in every smooth sip of every bottle of Beach Vodka.",Beach Vodka,Vodka,Spirits,80.0,750.0,40-80
Beam's 8 Star,9.75,NA,Beam's,Whiskey,Spirits,80.0,1e3,40-80
Becherovka,27.3,"Becherovka is original Czech liquor. It is produced in Karlovy Vary (Carlsbad) in the West Bohemia. It mysterious recipe is still kept in secret and there are only two persons in the world who know the right ingredients and herbs used in production. Its lovers prefer to enjoy it pure and ice cold, and thanks to the dynamic growth in popularity of mixed drinks it can be also found in various cocktails (the most popular is ""beton"" - Becherovka mixed in a refreshing combination with tonic water).",Becherovka,Cordials,Spirits,76.0,750.0,40-80
Beefeater Gin,12.9,"Beefeater London Dry Gin is a handcrafted gin, with a characteristic crisp, clean, well balanced flavor is derived from 100% natural ingredients, brought to the London Distillery from all over the world.",Beefeater,Gin,Spirits,94.0,375.0,80-120
Beefeater Gin PET,1.0,"Beefeater London Dry Gin is a handcrafted gin, with a characteristic crisp, clean, well balanced flavor is derived from 100% natural ingredients, brought to the London Distillery from all over the world.",Beefeater,Gin,Spirits,94.0,50.0,80-120
Belle De Brillet Liqueur,56.9,"Belle de Brillet Pear Liqueur is an original blend of Brillet Cognac and the essence of Williams Pears (Poires Williams). This liqueur is the fruit of a perfect blend of very flavorful “Poire Williams” produced mainly in the east of France, fine Brillet Cognac Eau de Vie from the heart of the Cognac region, and a “special plus,” an ingredient whose secret is cautiously guarded by Maison Brillet. The perfectly matured pears are carefully selected, picked at peak ripeness, macerated, and then blended with Brillet cognac. About twenty pounds of pears are required to produce each bottle. Cork finished and presented in an elegant pear-shaped glass bottle, this liqueur has increasingly become a favorite of gourmets, distinguished palates and bar chefs around the world.",Belle De Brillet,Cordials,Spirits,60.0,750.0,40-80
Belle Isle Premium Honey Habanero Moonshine,24.9,"What happens when you combine Belle Isle Craft Spirits' gold-medal winning premium moonshine with all-natural honey and real habaneros? Pull the cork and find out. Sweet and spicy. Subtle, yet bold. No artificial flavors or coloring",Belle Isle Premium Moonshine,Whiskey,Spirits,35.0,750.0,0-40
Belle Isle Premium Moonshine,24.9,"Today, Belle Isle Craft Spirits carries on this tradition of a Premium Moonshine, hand crafted with 100% organic corn, distilled in the finest copper stills, that pays respect to those that came before us. Drink a Smoother Spirit. Be Premium.",Belle Isle Premium Moonshine,Whiskey,Spirits,80.0,750.0,40-80
Belle Meade Bourbon,41.9,"We at Nelson's Green Brier Distillery are proud to kickoff our resurrection with the release of Belle Meade Bourbon! Originally produced by Charles Nelson in conjunction with Sperry, Wade & Co., Belle Meade Bourbon is a brand that dates back to the American pre-Prohibition era. Known for its bold character and smooth finish, Charles Nelson bottled and sold Belle Meade Bourbon in his day and we, his great-great-great grandsons, are doing the same today. We have hand-selected barrels to create this unique family blend and have come up with something that would make our ancestors proud. The horses on the front label have a history that goes back to the days of the famous Belle Meade Plantation in Nashville, Tenn. The horse on the right-hand side of the label is Bonnie Scotland, one of Belle Meade's leading sires. Some of Bonnie Scotlands descendants include War Admiral, Man O War, Seabiscuit and Secretariat, along with most of the horses that run in the Kentucky Derby today. Appropriately enough, one of Bonnie Scotlands fillies was named Bourbon Belle. Points of Difference High Rye Content 90.4 proof is the ideal sweet spot for depth of character Small batch 4 hand-selected barrels per batch Tasting Notes Nose: Maple syrup and caramel with floral fragrances and a citrus zest Palate: Caramel and vanilla with bold rye spice and hints of apricot Finish: Long, smooth finish with mellow cherry and plum notes accented by cinnamon, all without the burn found in other 90 proof bourbons",Belle Meade Bourbon,Whiskey,Spirits,90.4,750.0,80-120
Belle Paire Flavored Liqueur,29.9,NA,Belle Paire,Cordials,Spirits,60.0,750.0,40-80
Beluga Noble Vodka,32.9,NA,Beluga Noble Vodka,Vodka,Spirits,80.0,750.0,40-80
Belvedere 007,39.9,NA,Belvedere,Vodka,Spirits,80.0,1e3,40-80
Belvedere Crytus Flavored Vodka,29.9,"More parts lemon than lime, Belvedere Cytrus has a striking aroma and playful cytrus notes which can only be achieved by using the essential oils from citrus peels.",Belvedere,Vodka,Spirits,80.0,750.0,40-80
Belvedere Intense,34.9,"Until recently, the most intense vodka you will ever experience could only be purchased from international duty free shops. Newly available for expanded distribution, Belvedere Intense offers the smooth, full-bodied flavors one expects from Belvedere. Belvedere Intense truly highlights the balance between elegance and taste that has always been central to all Belvedere vodkas: As distincitive as it is stylish, this is a vodka that is unmatched by anything else available. Because Intense contains less water, the finer characteristics of Belvedere Vodka are elevated and intensified. On first taste, your palate detects a deep finish with notes of caramel, dark savory spice and rich bitter chocolate. Double-filtered through pure charcoal, Belvedere Intense is naturally smooth and magnificent. It is the perfect base for cocktails, mixed drinks and infusions.",Belvedere,Vodka,Spirits,100.0,750.0,80-120
Belvedere Mango Passion,26.9,"Not even white sandy beaches convey summer like Belvedere Mango Passion. This exotic creation is made with real fruit and contains no artificial flavor or added sugar. Belvedere's unparalleled maceration process of soaking mango, passion fruit, tangerine, mandarins and lime directly into the vodka, has created the ideal summertime beverage. Perfect with tonic or ginger ale and a slice of lime.",Belvedere,Vodka,Spirits,80.0,750.0,40-80
Belvedere Pink Grapefruit Flavored Vodka,26.9,"Nose: A rush of bright and refreshing sweet pink grapefruit and citrus lift, with notes of ripe grapefruit flesh, spicy ginger and a hint of vanilla. Palate: Soft, sweet and rich with a velvety texture and vivid pink grapefruit tartness tempered by hints of warming ginger and lemon peel. Medium bodied with a good balance of acidity and spice. Finish: Sustained notes of fresh citrus with a persistent sweet spice warmth and soft cream vanilla back palate.",Belvedere,Vodka,Spirits,80.0,750.0,40-80
Belvedere Pure Cocktail Glass Pack,29.9,NA,Belvedere,Vodka,Spirits,80.0,750.0,40-80
Belvedere Pure Ice Crush VAP,29.9,"Belvedere has notes of vanilla and rye on the palate, the finish is crisp and clean with lingering white pepper spice. It has a distictive, creamy feel.",Belvedere,Vodka,Spirits,80.0,750.0,40-80
Belvedere Pure Red Vodka,39.9,"Buy. Give. Save Lives. Belvedere is passionate about vodka. This goes without saying. Belvedere is equally passionate when it comes to giving back; a passion that led to the creation of (BELVEDERE)RED Special Edition Bottle, the same Belvedere Vodka in a special edition bottle. Belvedere donates 50% of its profits of the sale of this bottle to the Global Fund, the world's leading financier of programs to fight HIV/AIDS in Africa. It's not just about Knowing the Difference, it's also about Making a Difference.",Belvedere Pure Red,Vodka,Spirits,80.0,1e3,40-80
Belvedere Pure Spectre Shaker VAP,29.9,NA,Belvedere,Vodka,Spirits,80.0,750.0,40-80
Belvedere Red Pure,29.9,"Buy. Give. Save Lives. Belvedere is passionate about vodka. This goes without saying. Belvedere is equally passionate when it comes to giving back; a passion that led to the creation of (BELVEDERE)RED Special Edition Bottle, the same Belvedere Vodka in a special edition bottle. Belvedere donates 50% of its profits of the sale of this bottle to the Global Fund, the world's leading financier of programs to fight HIV/AIDS in Africa. It's not just about Knowing the Difference, it's also about Making a Difference.",Belvedere Red Pure,Vodka,Spirits,80.0,750.0,40-80
Belvedere Vodka,9.9,"Rye. Water. Character. Belvedere Vodka is the original and true expression of luxury vodka, created from 600 years of Polish vodka-making tradition. The vodka itself is always authentic, and never artificial. Created exclusively from Polish Dankowskie Rye and quadruple-distilled to create the perfect balance of character and purity; it is completely free of additives, including sugar or glycerin. Dilution with purified water from Belvedere's own artisan wells is essential, enabling the character of the rye to shine. Perfect on the rocks, in a martini or breathing character to any cocktail. Belvedere represents the pinnacle of vodka making tradition. Zero additives, gluten free, naturally smooth.",Belvedere,Vodka,Spirits,80.0,200.0,40-80
Belvedere Vodka Red Holiday,54.9,"Buy. Give. Save Lives. Belvedere is passionate about vodka. This goes without saying. Belvedere is equally passionate when it comes to giving back; a passion that led to the creation of (BELVEDERE)RED Special Edition Bottle, the same Belvedere Vodka in a special edition bottle. Belvedere donates 50% of its profits of the sale of this bottle to the Global Fund, the world's leading financier of programs to fight HIV/AIDS in Africa. It's not just about Knowing the Difference, it's also about Making a Difference.",Belvedere,Vodka,Spirits,80.0,1750.0,40-80
Belvedere Wild Berry,29.9,"Belvedere Wild Berry is inspired by the summer berry harvests in Poland and North America and will refresh your palate while providing an unmatched taste experience. With its perfect combination of Polish strawberries and American blueberries, Belvedere Wild Berry delivers an exquisite blend of rich, juicy vodka.",Belvedere,Vodka,Spirits,80.0,750.0,40-80
Benchmark Bourbon #8,18.9,"Named after the McAfee brothers who surveyed a site just north of Frankfort in the late 1700s, this rye recipe bourbon is yet another label that honors the storied history of the Buffalo Trace Distillery and the land it sits on. The nose bears caramel notes with a delicate stone-fruit backdrop. A robust and sturdy palate with some fine leather notes mingling with dry tobacco, a touch of oak and a hint of dried cherries. The finish is smooth and calming.",Benchmark,Whiskey,Spirits,80.0,1750.0,40-80
Benchmark Bourbon Egg Nog,7.9,"MCAFEE'S BENCHMARK OLD NO. 8 EGG NOG is an creamy delightful egg nog blended with McAfee's Benchmark Old #8 Bourbon to give it a little kick. Smooth and delicious, perfect for holiday get togethers and gatherings.",Benchmark,Cordials,Spirits,30.0,750.0,0-40
Benchmark Brown Sugar Flavored Whiskey,0.9,"Amber color. Aromas and flavors of butterscotch and maple hazelnut danish with a glycerous fruity sweet medium body and a delicate roasted walnut and brown sugar finish. Rather liqueur-like in sweetness, but solidly made and mixable.",Benchmark,Whiskey,Spirits,70.0,50.0,40-80
Benedictine & Brandy DOM,23.0,"B&B Liqueur is a delicate balance of Benedictine Liqueur and fine French Cognac. It can be enjoyed neat or over ice in a snifter, with whipped cream in coffee or with your favorite mixes",Benedictine,Cordials,Spirits,80.0,375.0,40-80
Benedictine DOM,40.5,Bénédictine® is a subtle blend of twenty seven plants and spices selected by the Master Herbalist.,Benedictine,Cordials,Spirits,80.0,750.0,40-80
Benrinnes 21 Year,459.9,NA,Benrinnes,Whiskey,Spirits,113.8,750.0,80-120
Beringei Vodka,29.9,"BERINGEI is the scientific name shared by all Mountain and Eastern Lowland Gorillas. We are proud to craft an American Vodka from pure mountain water and quality grain that captures the essence of the BERINGEI. Gentle yet formidable, reserved unless provoked. It doesn't matter what you wear, what you do or where you make your nest. BERINGEI Vodka is meant to be enjoyed by the entire human species. BERINGEI VODKA. RULE YOUR NEST. BERINGEI VODKA is distilled using a continuous column distillation process. This creates the finest quality spirit for consumption and ensures that our vodka tastes as close to perfect as one can achieve. The sweet and flavorful character of winter wheat and grains delights at every sip, swallow, and dare we say, gulp.",Beringei Vodka,Vodka,Spirits,80.0,750.0,40-80
Bernheim Original Wheat Whiskey,26.9,"At its launch, Bernheim Original Straight Wheat Whiskey was the first truly new variety of American straight wheat whiskey introduced since Prohibition. Heaven Hill Master Distillers saw an opportunity to give today's whiskey connoisseurs a unique taste experience. Wheat gives the Whiskey a softer taste than Bourbon.",Bernheim Original Wheat Whiskey,Whiskey,Spirits,90.0,750.0,80-120
Bird Dog 100ml Variety Pack,13.9,A great way to try our whole line and find your favorite!,Bird Dog,Whiskey,Spirits,80.0,100.0,40-80
Bird Dog Apple,1.0,"Bird Dog Apple Bourbon flourishes with lush, succulent apple flavors and finishes with a sweet, warm cinnamon zest.",Bird Dog,Whiskey,Spirits,80.0,50.0,40-80
Bird Dog Blackberry Flavored Whiskey,16.9,"Bird Dog Blackberry infuses two hand selected, all-natural blackberry flavors to create a soft, warm whiskey.",Bird Dog Blackberry Flavored Whiskey,Whiskey,Spirits,80.0,750.0,40-80
Bird Dog Bourbon,16.9,"Bird Dog Bourbon has an elaborate medley of corn, malted barley and rye that formulates into a distinctive gentle bourbon. With many layers of distinction, Bird Dog Bourbon flourishes with light undertones of honey and golden raisins which is complimented by the richness of caramelized wood sugar. Aged in traditional charred white oak bourbon barrels and bottled at 80 proof, Bird Dog Bourbon is an extremely enjoyable bourbon.",Bird Dog,Whiskey,Spirits,80.0,750.0,40-80
Bird Dog Chocolate,18.9,"Bird Dog Chocolate Whiskey exudes a luscious, rich milk chocolate scent and smooth taste.",Bird Dog,Whiskey,Spirits,80.0,750.0,40-80
Bird Dog Cinnamon Flavored Whiskey,1.2,"Bird Dog Hot Cinnamon boasts an intense aromas of sweet cinnamon that is full of red hot spice to create a warn, smooth whiskey.",Bird Dog Cinnamon Flavored Whiskey,Whiskey,Spirits,80.0,50.0,40-80
Bird Dog Hot Cinnamon Flavored Whiskey,18.9,"Bird Dog Hot Cinnamon boasts an intense aromas of sweet cinnamon that is full of red hot spice to create a warn, smooth whiskey.",Bird Dog,Whiskey,Spirits,80.0,750.0,40-80
Bird Dog Maple Flavored Whiskey,16.9,"Bird Dog Maple boasts a gentle butterscotch and dark maple taste to create a warm, smooth whiskey.",Bird Dog,Whiskey,Spirits,80.0,750.0,40-80
Bird Dog Peach Flavored Whiskey,16.9,"Bird Dog Peach immerses juicy, savory, fragrant peaches to create a smooth, easy-to-drink whiskey.",Bird Dog Peach Flavored Whiskey,Whiskey,Spirits,80.0,750.0,40-80
Bird Dog Peach Flavored Whiskey With BBQ Sauce,16.9,NA,Bird Dog Peach Flavored Whiskey,Whiskey,Spirits,40.0,750.0,0-40
Bird Dog Peppermint Moonshine,1.2,"Bird Dog Peppermint Moonshine is made from the finest grains that have been distilled a minimum four times for superior smoothness. Bird Dog Peppermint Moonshine infuses natural peppermint flavors and is finished in a meticulous filtration process. The result is a fresh, reviving taste that glistens with every sip of Bird Dog Peppermint Moonshine. Bird Dog Peppermint Moonshine...this dog don't bite!",Bird Dog,Whiskey,Spirits,80.0,50.0,40-80
Black Bottle Blended Scotch,43.7,NA,Black Bottle Blended Scotch,Whiskey,Spirits,80.0,750.0,40-80
Black Bottle Original Scotch,27.2,"Perfectly balanced with the smoke-fringed flavours of sweet oak and honey; elegantly spiced finish of nutmeg, pepper and lingering smokiness.",Black Bottle Original,Whiskey,Spirits,80.0,750.0,40-80
Black Haus Blackberry Schnapps,13.2,"It's about the essence of the fruit. One sniff from the rough hewn bottle and there it is, like freshly picked blackberries crushed in your hand on a summer day. No kidding. You'd swear the purple juice was flowing through your fingers. It is strong and sweet, not sticky sweet, but fruity sweet. It has a swift burn as it rolls past your tongue, but the aftertaste is much milder. A clear liqueur packaged in a clear, purple labeled bottle, Black Haus is based on an old German recipe, though it is made and bottled now in Canada. It is 40 percent alcohol by volume, or eighty proof, and it packs a punch!",Black Haus,Schnapps,Spirits,80.0,750.0,40-80
Black Velvet,9.9,"Whether you're swapping stories at your local bar or chilling in the backyard, do it over Black Velvet. It's made from honest, quality ingredients. But don't take our word for it. Pick up a bottle and let the stories begin.",Black Velvet,Whiskey,Spirits,80.0,750.0,40-80
Black Velvet Cinnamon Rush Flavored Whiskey,12.9,"Black Velvet Cinnamon Rush is a fiery hot flavored whisky that delivers an intense cinnamon kick before a long, complex finish. Smooth enough to drink straight or on the rocks, Cinnamon Rush is a provocative blend with the power to awaken a classic cocktail or inspire a handcrafted original.",Black Velvet,Whiskey,Spirits,70.0,750.0,40-80
Black Velvet Portable,9.9,"Whether you're swapping stories at your local bar or chilling in the backyard, do it over Black Velvet. It's made from honest, quality ingredients. But don't take our word for it. Pick up a bottle and let the stories begin.",Black Velvet,Whiskey,Spirits,80.0,750.0,40-80
Black Velvet Toasted Caramel Flavored Whiskey,12.9,"Black Velvet Toasted Caramel Whisky is a distinctive blend, infusing hints of sweet caramel into the smooth, easy-drinking flavor you've come to expect from Black Velvet. A perfect balance of caramel flavor and warm, toasted notes allows its smooth, defined whisky character to come through. The result is a velvety, rich whisky you can enjoy straight, on the rocks or blended with your favorite mixer.",Black Velvet Toasted Caramel Flavored Whiskey,Whiskey,Spirits,70.0,750.0,40-80
Blackback White Spirits,16.9,"BLACKBACK gorillas are eager, strong and healthy males that have yet to mature into a sage SILVERBACK patriarch. You can trust that our hand-crafted BLACKBACK WHITE SPIRIT is the stuff that matures into strong and mature bourbon. Corn, winter wheat and barley combine for a hot, sweet chest thump of pleasure; our hearts our generous. You, the drinker, will be pleased to know that BLACKBACK WHITE is the very same spirit that fills our white oak whiskey barrels. A superior bourbon starts with pure, hand-crafted spirit. This eager concoction nests in the barrels, ready to leap out at first tap. A pleasurable grunt could escape from your lips involuntarily while sipping BLACKBACK WHITE. And, knowing the quality of this original and crisp spirit will prepare you for what’s to come…when the bourbon escapes only a few years hence into the global jungle.",Blackback White Spirits,Whiskey,Spirits,90.0,375.0,80-120
Blackheart Spiced Rum,15.9,NA,Blackheart,Rum,Spirits,93.0,1e3,80-120
Blackleaf Premium Organic Vodka,20.0,"A perfect marriage between premium and organic, Blackleaf is luxuriously pure down to its finest details. Crafted from a selection of the highest quality Winter wheat and water naturally filtered through champagne limestone; it is gentle on the nose and even gentler on the palate.",Blackleaf,Vodka,Spirits,80.0,750.0,40-80
Blanton Single Barrel,24.9,"The finest bourbon in the world comes from a single barrel. That’s the way Colonel Albert B. Blanton first bottled his private reserve bourbon nearly a century ago. Blanton believed the “center-cut” or middle sections of Warehouse H were the best for aging his bourbon. Personally tasting and choosing each barrel, these barrels were reserved and bottled for ambassadors, dignitaries, family and friends becoming the world’s first single barrel bourbon. His time honored tradition lives on today as only a handful of barrels from the center of Warehouse H are selected to become Blanton's Single Barrel Bourbon.",Blanton,Whiskey,Spirits,93.0,375.0,80-120
Blood Oath Kentucky Straight Bourbon Whiskey,89.9,NA,Blood Oath,Whiskey,Spirits,49.3,750.0,40-80
Bloomery Sweetshine Limoncello,25.1,"The one that started it all! Classic Italian liqueur with a robust lemon flavor and higher alcohol content. Every lemon that goes into our limoncello has been carefully hand-zested. Compares to any authentic limoncello you’ve tasted in Italy! Best if stored in and served from the freezer. Our flagship, classy lady.",Bloomery Sweetshine Limoncello,Cordials,Spirits,40.0,375.0,0-40
Bloomery Sweetshine Peach,25.1,"Purely peach with a hint of earthinesslike the rays of sunshine on a warm summer day. Light, sweet and refreshingly playful. Best if served from the fridge. Note: the natural pectin from the peach thickens the hooch over time. This girl shines best over ice where her flavors meld and blend together beautifully.",Bloomery Sweetshine Peach,Cordials,Spirits,50.0,375.0,40-80
Bloomery Sweetshine Raspberry Lemon,25.1,"Our ever-popular proprietary cordial that’s robustly raspberry with a hint of lemon. Sweet, smooth and oh so delicious. Beautiful color and bouquet. Refrigerate after opening. She craves the party mixers.",Bloomery Sweetshine Raspberry Lemon,Cordials,Spirits,35.0,375.0,0-40
Blue Chair Bay Coconut Rum,17.9,"This is coconut rum the way it should be - robust, yet easy as an afternoon with nowhere to go and nowhere to be.",Blue Chair Bay,Rum,Spirits,53.0,750.0,40-80
Blue Chair Bay Coconut Spice Rum,17.9,"Cinnamon, nutmeg, and clove meet coconut for a whole 'nother way to spice. Take it straight and see what Kenny means when he says, ""sixth gear with nowhere to steer."" Or light up a Shooting Star and see where the night takes you.",Blue Chair Bay Coconut Spice,Rum,Spirits,53.0,750.0,40-80
Blue Chair Bay Coconut Spiced Rum,1.0,NA,Blue Chair Bay,Rum,Spirits,53.0,50.0,40-80
Blue Chair Bay Coconut Spiced Rum Cream,19.9,Inspired by a special holiday drink made in the islands comes the spirit Kenny bottles up just once a year. Blue Chair Bay® Coconut Spiced Rum Cream is authentic beach made coconut rum blended with real cream and island and holiday spices so you can make it smooth sailing this season. Here are a few ideas from the beach!,Blue Chair Bay,Cordials,Spirits,30.0,750.0,0-40
Blue Chair Bay Vanilla Rum,1.0,NA,Blue Chair Bay,Rum,Spirits,53.0,50.0,40-80
Blue Chair Bay White Rum,17.9,"Theres something about the sunlight, the waves, and the breeze across the bay that changes the nature of time. Blue Chair Bay White is distilled steps from the beach and mellowed in white oak casks right on the Caribbean coast.",Blue Chair Bay,Rum,Spirits,80.0,750.0,40-80
Blue Crab Bay Jalapeno Margarita Mixer,6.95,"Our margarita mixer, the winner of Best New Beverage at the Virginia Food and Beverage Expo, is all natural. It is infused with jalapeno, giving it a tart finish, and is made with pure cane sugar. Not too sweet and the right amount of lime! Rim that glass and drink.",Blue Crab Bay,Mixers,Mixers,0.0,740.0,0-40
Bluecoat Barrel Finished,32.9,NA,Bluecoat,Gin,Spirits,94.0,750.0,80-120
Bluecoat Gin,26.9,"“Handcrafted in America” as the original American dry gin, Bluecoat is in a class by itself. Unique in flavor profile and unsurpassed in character, five times distilled in the birthplace of America—Philadelphia, Pa. Distilled in a custom, hand-hammered copper pot still, Bluecoat represents the pinnacle of artisanal craft spirits. Only the smoothest, most flavorful cuts are bottled. The results are immediately noticeable: a quality spirit with a smooth and gentle mouth-feel and a refreshingly light taste.",Bluecoat,Gin,Spirits,94.0,750.0,80-120
Bocador 151,19.0,The original Bocador Rum famous for its character. Made by master distillers where the tropical winds blow.,Bocador,Rum,Spirits,151.0,1e3,120-160
Bocador Rum,7.7,NA,Bocador,Rum,Spirits,80.0,1750.0,40-80
